2165478,2024-10-11,Round 500,Oklahoma City Thunder,117,New Zealand Breakers,89,https://r2.thesportsdb.com/images/media/event/poster/gtf8bf1733080907.jpg,https://r2.thesportsdb.com/images/media/event/thumb/s4kpde1728329378.jpg
2165630,2024-10-11,Round 500,Milwaukee Bucks,102,Los Angeles Lakers,107,https://r2.thesportsdb.com/images/media/event/poster/hs6v2z1733080910.jpg,https://r2.thesportsdb.com/images/media/event/thumb/m5eth91728329383.jpg
2165629,2024-10-11,Round 500,Memphis Grizzlies,94,Charlotte Hornets,119,https://r2.thesportsdb.com/images/media/event/poster/nvwa081733080908.jpg,https://r2.thesportsdb.com/images/media/event/thumb/jl85a81728329379.jpg
2165628,2024-10-11,Round 500,Dallas Mavericks,102,Utah Jazz,107,https://r2.thesportsdb.com/images/media/event/poster/0gsdvk1733080909.jpg,https://r2.thesportsdb.com/images/media/event/thumb/t9tgbt1728329381.jpg
2165631,2024-10-11,Round 500,Washington Wizards,113,Toronto Raptors,95,https://r2.thesportsdb.com/images/media/event/poster/r5ez9n1733080911.jpg,https://r2.thesportsdb.com/images/media/event/thumb/6ecbzq1728329385.jpg
2165632,2024-10-11,Round 500,Orlando Magic,,New Orleans Pelicans,,https://r2.thesportsdb.com/images/media/event/poster/7zxaeb1733080913.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4fxhk91728329389.jpg
2165633,2024-10-11,Round 500,Minnesota Timberwolves,121,Philadelphia 76ers,111,https://r2.thesportsdb.com/images/media/event/poster/vqr49s1733080912.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ujs2jk1728329387.jpg
2165635,2024-10-12,Round 500,Phoenix Suns,91,Detroit Pistons,109,https://r2.thesportsdb.com/images/media/event/poster/rbmjx01733080914.jpg,https://r2.thesportsdb.com/images/media/event/thumb/7v3dro1728329391.jpg
2165634,2024-10-12,Round 500,Golden State Warriors,109,Sacramento Kings,106,https://r2.thesportsdb.com/images/media/event/poster/ybi7jx1733080915.jpg,https://r2.thesportsdb.com/images/media/event/thumb/59ez5n1728329394.jpg
2165636,2024-10-12,Round 500,Los Angeles Clippers,101,Portland Trail Blazers,99,https://r2.thesportsdb.com/images/media/event/poster/th28yg1733080916.jpg,https://r2.thesportsdb.com/images/media/event/thumb/1ik0py1728329396.jpg
2165639,2024-10-13,Round 500,San Antonio Spurs,126,Utah Jazz,120,https://r2.thesportsdb.com/images/media/event/poster/zurj0x1733080918.jpg,https://r2.thesportsdb.com/images/media/event/thumb/pnm7l51728329397.jpg
2165637,2024-10-13,Round 500,Boston Celtics,139,Philadelphia 76ers,89,https://r2.thesportsdb.com/images/media/event/poster/sc5f2s1733080918.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mjmhf61728329401.jpg
2165638,2024-10-13,Round 500,Chicago Bulls,121,Memphis Grizzlies,124,https://r2.thesportsdb.com/images/media/event/poster/6lzyde1733080917.jpg,https://r2.thesportsdb.com/images/media/event/thumb/notz6z1728329399.jpg
2165640,2024-10-13,Round 500,Miami Heat,101,New Orleans Pelicans,99,https://r2.thesportsdb.com/images/media/event/poster/mzg3dj1733080919.jpg,https://r2.thesportsdb.com/images/media/event/thumb/1mao0z1728329403.jpg
2165642,2024-10-13,Round 500,Sacramento Kings,85,Portland Trail Blazers,105,https://r2.thesportsdb.com/images/media/event/poster/sxkveh1733080921.jpg,https://r2.thesportsdb.com/images/media/event/thumb/eh4f4z1728329404.jpg
2165641,2024-10-13,Round 500,New York Knicks,115,Minnesota Timberwolves,110,https://r2.thesportsdb.com/images/media/event/poster/lrpwik1733080922.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hs57ys1728329406.jpg
2165643,2024-10-13,Round 500,Boston Celtics,115,Toronto Raptors,111,https://r2.thesportsdb.com/images/media/event/poster/j78c901733080923.jpg,https://r2.thesportsdb.com/images/media/event/thumb/si18w21728329407.jpg
2165645,2024-10-14,Round 500,Golden State Warriors,111,Detroit Pistons,93,https://r2.thesportsdb.com/images/media/event/poster/ivyez51733080925.jpg,https://r2.thesportsdb.com/images/media/event/thumb/rxay6v1728329410.jpg
2165644,2024-10-14,Round 500,Denver Nuggets,114,Phoenix Suns,118,https://r2.thesportsdb.com/images/media/event/poster/gpx3g41733080925.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ccosmc1728329409.jpg
2165646,2024-10-14,Round 500,Indiana Pacers,116,Memphis Grizzlies,120,https://r2.thesportsdb.com/images/media/event/poster/lygb7o1733080927.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ienvl71728329412.jpg
